2026-01-28 12:41:57.467437 ALERT: 192.168.1.10 failed 6 times
2026-01-28 12:43:56.006663 ALERT: 192.168.1.10 failed 6 times
192.168.1.10 failed 6 times - MITRE T1110
192.168.1.10 failed 6 times - MITRE T1110
192.168.1.10 failed 6 times - MITRE T1110
192.168.1.10 failed 6 times - MITRE T1110
192.168.1.10 failed 6 times - MITRE T1110
192.168.1.10 failed 6 times - MITRE T1110
192.168.1.10 failed 6 times - MITRE T1110
192.168.1.10 failed 6 times - MITRE T1110
192.168.1.10 failed 6 times - MITRE T1110
192.168.1.10 failed 6 times - MITRE T1110
